n_cyanos,co2,light,SucRatio,Nsample,a,mu,tau,a0
162, 38.79659866220736, 0.33110434782608694, 0.21739130434782608, 10937, 6.782693318060749, 7.10471199247647, 0.6094089778687235, 0.9999999999999999
523, 6.021006688963211, 0.7090303913043478, 0.13712374581939799, 16956, 0.3591906529518611, 1.8321715321262542, 0.03147575707362002, 0.9773575544495879
182, 60.20106688963211, 0.09030191304347826, 0.4180602006688963, 12981, 6.1748253563525655, 6.336650981008377, 0.6267793540308015, 0.9999999999999999
453, 17.392130434782608, 0.5618733478260869, 0.8862876254180602, 16200, 0.38310316300559827, 1.5465859253977663, 0.02331813249494062, 0.9590987203074433
149, 93.9799933110368, 0.023412347826086956, 0.3277591973244147, 19450, 14.288794782156469, 12.200407820427865, 0.9996040884972847, 0.9999999999999999
630, 6.689896321070234, 0.946488347826087, 0.5752508361204013, 5830, 0.13514732641447427, 1.785001380561643, 0.05270646525526784, 0.9981921305619802
616, 12.709903010033443, 0.22742552173913042, 0.9531772575250836, 10253, 0.1780783323402351, 1.9427550636480766, 0.057412018886868955, 0.9972556045647034
52, 48.16105351170568, 0.7391306956521738, 0.7324414715719063, 16085, 10.952684808200411, 9.136412939937749, 1.0164146496666198, 0.9999999999999999
95, 50.50216722408026, 0.23076999999999998, 0.1939799331103679, 10312, 15.59344283745227, 13.666906413631825, 1.0461206804095724, 0.9999999999999999
25, 38.46215384615384, 0.23411447826086954, 0.6688963210702341, 18538, 20.382297896935842, 15.50449578093476, 1.2361896443346367, 0.9999999999999999
229, 87.95998662207357, 0.14381356521739128, 0.37792642140468224, 18244, 7.74407779457088, 7.546300962394233, 0.728883404239577, 0.9999999999999999
954, 49.83327759197324, 0.5117061739130435, 0.8394648829431438, 17538, 0.498354615016548, 1.7218390546596223, 0.056365024268150994, 0.974451127628907
934, 29.766588628762538, 0.040134739130434784, 0.9431438127090301, 9647, 0.2660198858167178, 1.5476944614913553, 0.053380017710559294, 0.9856045060287112
476, 3.3454481605351165, 0.15050252173913045, 0.21739130434782608, 13059, 0.16504601516361314, 1.8014413045950677, 0.046214657062712244, 0.9988286293296131
680, 73.57885953177257, 0.7558530869565216, 0.4180602006688963, 10973, 1.977369172065957, 3.2603397415348345, 0.29076547081562054, 0.9999999999999999
296, 28.763254180602004, 0.08361295652173913, 0.9899665551839465, 12253, 0.7404676568377613, 1.5479853608529657, 0.04944093953933538, 0.9455006305036183
610, 24.415471571906355, 0.48160586956521734, 0.46822742474916385, 12472, 0.6525267635827029, 1.7818445808398933, 0.0214993910301806, 0.9328182413012713
433, 4.014337792642141, 0.6822745652173913, 0.5819397993311037, 14329, 0.135826696505698, 2.0798182175769253, 0.04457372130757683, 0.9958171172693817
346, 28.09436454849498, 0.9765886521739131, 0.3846153846153846, 9452, 1.6279221027768565, 2.972851920773275, 0.26094236636366885, 0.9999999999999999
419, 77.2577525083612, 0.043479217391304344, 0.2809364548494983, 9802, 4.477779647560206, 5.272494483705782, 0.4974523007586677, 0.9999999999999999
212, 40.803267558528425, 0.5418064782608696, 0.9933110367892977, 3112, 1.670631780281589, 2.4591490286855593, 0.25477687765625034, 0.9999999999999999
35, 21.40546822742475, 0.46822795652173904, 0.8294314381270903, 12748, 6.433726826266746, 5.95827754378746, 0.6974728835604366, 0.9999999999999999
546, 90.96998996655519, 0.9665552173913043, 0.5418060200668896, 10688, 2.394775991443773, 3.546333788269491, 0.3290866684291549, 0.9999999999999999
142, 51.83994648829431, 0.9665552173913043, 0.04013377926421405, 18666, 17.360991886430373, 15.512219951382264, 1.0308621952007337, 0.9999999999999999
914, 17.057685618729096, 0.4615389999999999, 0.9933110367892977, 14499, 0.14366616213709416, 1.5120381213457013, 0.044429796847460186, 0.993101509126805
593, 50.50216722408026, 0.7123748695652173, 0.5618729096989966, 17395, 1.1353158645666197, 2.156838028542452, 0.15946304875838002, 0.9999999999999999
326, 76.92330769230769, 0.03344578260869565, 0.7591973244147157, 12368, 2.577946150198031, 3.3923864570621762, 0.3809291995112216, 0.9999999999999999
302, 36.78992976588628, 0.5685623043478261, 0.8494983277591973, 6169, 1.1693656417039613, 2.018650399451236, 0.17884958704091738, 0.9999999999999999
362, 22.074357859531773, 0.12374669565217392, 0.4615384615384615, 14771, 0.9312391721711717, 1.8995130860133682, 0.12303437325496919, 0.9999999999999999
342, 12.709903010033443, 0.39130495652173913, 0.3076923076923077, 13427, 0.690397032524573, 1.8136654944756656, 0.09319190867860709, 0.985171843586516
